,index,ch1,ch2,ch3,dopp,UC,UC_count,Manual_Uc_Status
149,178.873,0,0,0.00,0,0,9,-1
150,178.878,0,0,0.00,0,0,9,-1
151,178.882,0,0,0.00,0,0,9,-1
152,178.888,0,0,0.00,0,0,9,-1
153,178.892,0,0,0.00,0,0,9,-1
154,178.898,0,0,0.00,0,0,9,-1
155,178.903,0,0,0.00,0,0,9,-1
156,178.907,0,0,0.00,0,0,9,-1
157,178.912,0,0,0.00,0,0,9,-1
158,178.917,0,0,0.00,0,0,9,-1
159,178.922,0,0,0.00,0,0,9,-1
160,178.927,0,0,0.00,0,0,9,-1
161,178.932,0,0,0.00,0,0,9,-1
162,178.937,0,0,0.00,0,0,9,-1
163,178.944,0,0,0.00,0,0,9,-1
164,178.948,0,0,0.00,0,0,9,-1
165,178.955,0,0,0.00,0,0,9,-1
166,178.959,0,0,0.00,0,0,9,-1
167,178.964,0,0,0.00,0,0,9,-1
168,178.969,0,0,0.00,0,0,9,-1
169,178.974,0,0,0.00,0,0,9,-1
170,178.980,0,0,0.00,0,0,9,-1
171,178.984,0,0,0.00,0,0,9,-1
172,178.990,0,0,0.00,0,0,9,-1
173,178.995,0,0,0.00,0,0,9,-1
174,179.0,0,0,0.00,0,0,9,-1
175,179.4,0,0,0.00,0,0,9,-1
176,179.9,0,0,0.00,0,0,9,-1
177,179.14,0,0,0.00,0,0,9,-1
178,179.19,0,0,0.00,0,0,9,-1
179,179.24,0,0,0.00,0,0,9,-1
180,179.30,0,0,0.00,0,0,9,-1
181,179.34,0,0,0.00,0,0,9,-1
182,179.39,0,0,0.00,0,0,9,-1
183,179.44,0,0,0.00,0,0,9,-1
184,179.51,0,0,0.00,0,0,9,-1
185,179.55,0,0,0.00,0,0,9,-1
186,179.60,0,0,0.00,0,0,9,-1
187,179.67,0,0,0.00,0,0,9,-1
188,179.72,0,0,0.00,0,0,9,-1
189,179.76,0,0,0.00,0,0,9,-1
190,179.81,0,0,0.00,0,0,9,-1
191,179.86,0,0,0.00,0,0,9,-1
192,179.92,0,0,0.00,0,0,9,-1
193,179.96,0,0,0.00,0,0,9,-1
194,179.101,0,0,0.00,0,0,9,-1
195,179.107,0,0,0.00,0,0,9,-1
196,179.112,0,0,0.00,0,0,9,-1
197,179.116,0,0,0.00,0,0,9,-1
198,179.121,0,0,0.00,0,0,9,-1
199,179.126,0,0,0.00,0,0,9,-1
200,179.131,0,0,0.00,0,0,9,-1
201,179.136,0,0,0.00,0,0,9,-1
202,179.141,0,0,0.00,0,0,9,-1
203,179.146,0,0,0.00,0,0,9,-1
204,179.152,0,0,0.00,0,0,9,-1
205,179.156,0,0,0.00,0,0,9,-1
206,179.161,0,0,0.00,0,0,9,-1
207,179.166,0,0,0.00,0,0,9,-1
208,179.171,0,0,0.00,0,0,9,-1
209,179.176,0,0,0.00,0,0,9,-1
