,index,ch1,ch2,ch3,dopp,UC,UC_count,Manual_Uc_Status
440,2.200,0,0,0.00,0,-1,0,-1
441,2.205,0,0,0.00,0,-1,0,-1
442,2.210,0,0,0.00,0,-1,0,-1
443,2.215,0,0,0.00,0,-1,0,-1
444,2.220,0,0,0.00,0,-1,0,-1
445,2.226,0,0,0.00,0,-1,0,-1
446,2.230,0,0,0.00,0,-1,0,-1
447,2.235,0,0,0.00,0,-1,0,-1
448,2.240,0,0,0.00,0,-1,0,-1
449,2.245,0,0,0.00,0,-1,0,-1
450,2.251,0,0,0.00,0,-1,0,-1
451,2.255,0,0,0.00,0,-1,0,-1
452,2.260,0,0,0.00,0,-1,0,-1
453,2.265,0,0,0.00,0,-1,0,-1
454,2.270,0,0,0.00,0,-1,0,-1
455,2.275,0,0,0.00,0,-1,0,-1
456,2.280,0,0,0.00,0,-1,0,-1
457,2.285,0,0,0.00,0,-1,0,-1
458,2.290,0,0,0.00,0,-1,0,-1
459,2.295,0,0,0.00,0,-1,0,-1
460,2.300,0,0,0.00,0,-1,0,-1
461,2.305,0,0,0.00,0,-1,0,-1
462,2.310,0,0,0.00,0,-1,0,-1
463,2.315,0,0,0.00,0,-1,0,-1
464,2.320,0,0,0.00,0,-1,0,-1
465,2.325,0,0,0.00,0,-1,0,-1
466,2.330,0,0,0.00,0,-1,0,-1
467,2.336,0,0,0.00,0,-1,0,-1
468,2.340,0,0,0.00,0,-1,0,-1
469,2.345,0,0,0.00,0,-1,0,-1
470,2.350,0,0,0.00,0,-1,0,-1
471,2.355,0,0,0.00,0,-1,0,-1
472,2.360,0,0,0.00,0,-1,0,-1
473,2.365,0,0,0.00,0,-1,0,-1
474,2.370,0,0,0.00,0,-1,0,-1
475,2.375,0,0,0.00,0,-1,0,-1
476,2.380,0,0,0.00,0,-1,0,-1
477,2.385,0,0,0.00,0,-1,0,-1
478,2.390,0,0,0.00,0,-1,0,-1
479,2.395,0,0,0.00,0,-1,0,-1
480,2.400,0,0,0.00,0,-1,0,-1
481,2.405,0,0,0.00,0,-1,0,-1
482,2.410,0,0,0.00,0,-1,0,-1
483,2.415,0,0,0.00,0,-1,0,-1
484,2.420,0,0,0.00,0,-1,0,-1
485,2.425,0,0,0.00,0,-1,0,-1
486,2.430,0,0,0.00,0,-1,0,-1
